project_name,latitude,longitude,province,province_code,status,status_label,mineral,controllers
"Amarillo Grande (Anit, Sta. Bárbara)",-39.61437,-67.22486,Río Negro,RN,advanced_exploration,Exploración avanzada,Uranio,"[{'name': 'Blue Sky Uranium Corp.', 'ownership_pct': '1.0', 'origin_country': 'Canadá'}]"
Arroyo Perdido,-43.4094444,-68.5305555555555,Chubut,CT,early_exploration,Exploración inicial,Uranio,"[{'name': 'CNEA', 'ownership_pct': '1.0', 'origin_country': 'Argentina'}]"
Cateos,-38.257306,-69.32361,Neuquén,NQ,prospection,Prospección,Uranio,"[{'name': '-', 'ownership_pct': '', 'origin_country': '-'}]"
Catriel (Mari),-37.7936111,-67.9633333333333,Río Negro,RN,early_exploration,Exploración inicial,Uranio,"[{'name': 'CNEA', 'ownership_pct': '1.0', 'origin_country': 'Argentina'}]"
Cerro Solo,-43.37,-68.688,Chubut,CT,advanced_exploration,Exploración avanzada,Uranio,"[{'name': 'CNEA', 'ownership_pct': '1.0', 'origin_country': 'Argentina'}]"
Chihuidos,-37.8417,-69.45,Neuquén,NQ,early_exploration,Exploración inicial,Uranio,"[{'name': 'Blue Sky Uranium Corp.', 'ownership_pct': '1.0', 'origin_country': 'Canadá'}]"
Corcovo,-35.5,-69.75,Mendoza,MZ,early_exploration,Exploración inicial,Uranio,"[{'name': 'Blue Sky Uranium Corp.', 'ownership_pct': '1.0', 'origin_country': 'Canadá'}]"
Don Otto,-25.611,-65.927,Salta,SA,feasibility,Factibilidad,Uranio,"[{'name': 'CNEA', 'ownership_pct': '1.0', 'origin_country': 'Argentina'}]"
Hope,-44.275,-67.0475,Chubut,CT,prospection,Prospección,Uranio,"[{'name': '-', 'ownership_pct': '', 'origin_country': '-'}]"
Huemules,-36.1539145,-69.2049679,Mendoza,MZ,early_exploration,Exploración inicial,Uranio,"[{'name': 'Jaguar Uranium Corp.', 'ownership_pct': '1.0', 'origin_country': 'Canadá'}]"
Ivana (Amarillo Grande),-39.61437,-67.22486,Río Negro,RN,preliminary_economic_assessment,Evaluación Económica Preliminar,Uranio,"[{'name': 'Blue Sky Uranium Corp.', 'ownership_pct': '1.0', 'origin_country': 'Canadá'}]"
Kaia,-41.39638889,-69.41694444,Río Negro,RN,prospection,Prospección,Uranio,"[{'name': '-', 'ownership_pct': '', 'origin_country': '-'}]"
Lago Seco,-44.3777778,-67.3202777777777,Chubut,CT,prospection,Prospección,Uranio,"[{'name': '-', 'ownership_pct': '', 'origin_country': '-'}]"
Laguna Colorada,-43.91,-68.67,Chubut,CT,advanced_exploration,Exploración avanzada,Uranio,"[{'name': 'CNEA', 'ownership_pct': '1.0', 'origin_country': 'Argentina'}]"
Laguna Salada,-44.29626,-67.21681,Chubut,CT,preliminary_economic_assessment,Evaluación Económica Preliminar,Uranio,"[{'name': 'Jaguar Uranium Corp.', 'ownership_pct': '1.0', 'origin_country': 'Canadá'}]"
Lucho U,-40.51,-66.252,Río Negro,RN,prospection,Prospección,Uranio,"[{'name': 'Lucero Claudio Guillermo-Unipersonal', 'ownership_pct': '', 'origin_country': '-'}]"
Meseta Central,-43.41,-68.69,Chubut,CT,advanced_exploration,Exploración avanzada,Uranio,"[{'name': 'UrAmérica Ltd.', 'ownership_pct': '1.0', 'origin_country': 'Reino Unido'}]"
Meseta Sirven (Laguna Sirve),-46.8810783,-69.0676926,Santa Cruz,SC,early_exploration,Exploración inicial,Uranio,"[{'name': 'CNEA', 'ownership_pct': '', 'origin_country': 'Argentina'}]"
Sierra Cuadrada,-44.609,-67.992,Chubut,CT,prospection,Prospección,Uranio,"[{'name': 'CNEA', 'ownership_pct': '1.0', 'origin_country': 'Argentina'}]"
Sierra Pintada,-34.9563,-68.6119,Mendoza,MZ,feasibility,Factibilidad,Uranio,"[{'name': 'CNEA', 'ownership_pct': '1.0', 'origin_country': 'Argentina'}]"
Sofia,-46.86444,-68.84583,Santa Cruz,SC,early_exploration,Exploración inicial,Uranio,"[{'name': 'Fomicruz S.E', 'ownership_pct': '', 'origin_country': 'Argentina'}]"
